VICTIM,Cut Tree,Category Damage
T0104044382,T0105034410,2
T0105021468,T0105034441,2
T0105021468,T0105036438,2
T0105002496,T0105037498,2
T0105028443,T0105053410,1
T0105055460,T0105059435,1
T0105044413,T0105069424,2
T0105044413,T0105069425,2
T0205102428,T0105070440,2
T0105044413,T0105072423,2
T0205102428,T0105073435,2
T0205102428,T0105074433,2
T0205102428,T0105075441,2
T0105094400,T0105084436,2
T0105091410,T0105087402,1
T0105094400,T0105088430,2
T0105094400,T0105090439,2
T0204120384,T0105092405,1
T0205119424,T0105093437,2
T0105069464,T0105099454,2
T0105002496,T0106003501,1
T0105002496,T0106005511,1
T0105002496,T0106005513,1
T0105002496,T0106006516,1
T0106025537,T0106008553,1
T0106047598,T0106010589,2
T0106047598,T0106012593,2
T0106047598,T0106015593,2
T0106047598,T0106017592,2
T0107008600,T0106019572,2
T0107008600,T0106021569,2
T0107008600,T0106021575,2
T0107008600,T0106023573,2
T0107008600,T0106024566,2
T0106044543,T0106028563,1
T0105002496,T0106031502,2
T0105002496,T0106033501,2
T0105002496,T0106036500,2
T0106044543,T0106036553,1
T0105002496,T0106037503,2
T0105002496,T0106038502,2
T0107045616,T0106040580,2
T0106073596,T0106040591,1
T0107045616,T0106041581,2
T0106025537,T0106053509,2
T0106091542,T0106059559,1
T0106091542,T0106061558,1
T0106044543,T0106065524,2
T0106044543,T0106066520,2
T0106044543,T0106066524,2
T0106044543,T0106068524,2
T0106044543,T0106069526,2
T0106044543,T0106069526,2
T0106044543,T0106071518,2
T0106044543,T0106071518,2
T0106044543,T0106071525,2
T0106091542,T0106072552,1
T0106091542,T0106076550,1
T0106049586,T0106084585,1
T0106083575,T0106090577,1
T0106079525,T0106092558,2
T0106079525,T0106093561,2
T0106079525,T0106093562,2
T0106079525,T0106095555,2
T0106079525,T0106095558,2
T0206117556,T0106096581,2
T0206123544,T0106099536,1
T0207115613,T0106099587,2
T0207115613,T0106099587,2
T0207115613,T0106099588,2
T0107031659,T0107000650,2
T0107010659,T0107001627,2
T0107010659,T0107003624,2
T0107010659,T0107004630,2
T0107010659,T0107004630,2
T0107010659,T0107007630,2
T0107010659,T0107007632,2
T0107010659,T0107010629,2
T0107045616,T0107012609,1
T0107045616,T0107014609,1
T0107045616,T0107014609,1
T0107014602,T0107015636,2
T0107014602,T0107017639,2
T0107014602,T0107017640,2
T0108013709,T0107018678,2
T0108013709,T0107019676,2
T0107014602,T0107021633,2
T0107014602,T0107021636,2
T0108004712,T0107021681,2
T0107014602,T0107022633,2
T0108004712,T0107022685,2
T0108013709,T0107023678,2
T0108013709,T0107023680,2
T0107049680,T0107038690,1
T0106049586,T0107044620,2
T0107048686,T0107044699,1
T0107070666,T0107046694,2
T0107017640,T0107047644,2
T0107070666,T0107047690,2
T0106049586,T0107050623,2
T0106049586,T0107051620,2
T0107014602,T0107052608,1
T0106049586,T0107052619,2
T0107017640,T0107052642,2
T0107017640,T0107055643,2
T0107017640,T0107056642,2
T0107032694,T0107061696,2
T0108044700,T0107064667,2
T0108044700,T0107065667,2
T0108044700,T0107065676,2
T0107061624,T0107066647,1
T0108044700,T0107066668,2
T0108044700,T0107066668,2
T0207102605,T0107067625,1
T0108044700,T0107067671,2
T0107049680,T0107069652,2
T0108063713,T0107071697,1
T0107049680,T0107072652,2
T0107049680,T0107073653,2
T0107049680,T0107073655,2
T0107049680,T0107075652,2
T0107049680,T0107077655,2
T0107048686,T0107079675,2
T0107048686,T0107080673,2
T0107048686,T0107082673,2
T0207102605,T0107085615,1
T0106083575,T0107088609,2
T0106083575,T0107091606,2
T0107061624,T0107091632,2
T0106083575,T0107092612,2
T0107061624,T0107092628,2
T0106083575,T0107093606,2
T0107070666,T0107094648,1
T0107070666,T0107094648,1
T0107061624,T0107095633,2
T0106083575,T0107097610,2
T0108029767,T0108005793,2
T0108036738,T0108007753,2
T0108029767,T0108008796,2
T0108029767,T0108010791,2
T0108036738,T0108011757,2
T0108036738,T0108012751,2
T0108036738,T0108012751,2
T0108044700,T0108022715,1
T0108063713,T0108035729,2
T0108063713,T0108036722,2
T0107048686,T0108038718,1
T0107032694,T0108038729,1
T0107048686,T0108039717,1
T0108029767,T0108048753,1
T0108081739,T0108056768,1
T0108029767,T0108058745,1
T0108081739,T0108058766,1
T0107032694,T0108059701,2
T0108055773,T0108060781,1
T0108074745,T0108063773,2
T0107032694,T0108064703,2
T0108074745,T0108065776,2
T0107032694,T0108066703,2
T0108063713,T0108067705,1
T0108074745,T0108067776,2
T0108074745,T0108067778,2
T0108074745,T0108068775,2
T0108054747,T0108069767,1
T0108055773,T0108069796,1
T0108054747,T0108070769,1
T0109057815,T0108071791,1
T0109057815,T0108072788,1
T0108091764,T0108072791,2
T0108081739,T0108074747,1
T0109057815,T0108075785,1
T0108045778,T0108078775,2
T0108055773,T0108079790,2
T0108054747,T0108080765,2
T0108045778,T0108080773,2
T0108054747,T0108081768,2
T0108054747,T0108083770,2
T0108054747,T0108086767,2
T0208109738,T0108088746,1
T0108074745,T0108092740,1
T0208133775,T0108099783,2
T0109004887,T0109007851,1
T0109004887,T0109007853,1
T0109060825,T0109023830,2
T0109060825,T0109023832,2
T0109060825,T0109025826,2
T0109016859,T0109027844,1
T0109060825,T0109028827,2
T0109060825,T0109028830,2
T0109060825,T0109029831,2
T0109060825,T0109032830,2
T0108019776,T0109035803,2
T0108019776,T0109039807,2
T0108019776,T0109040805,2
T0109016859,T0109043823,1
T0109050853,T0109049889,2
T0109051826,T0109054837,1
T0109060825,T0109062812,1
T0109088808,T0109062824,2
T0109088808,T0109062827,2
T0109088808,T0109065829,2
T0109088808,T0109065831,2
T0109088808,T0109066824,2
T0109094807,T0109067832,2
T0110077917,T0109068885,2
T0110077917,T0109068889,2
T0110077917,T0109071890,2
T0109094807,T0109073830,2
T0109062827,T0109074860,2
T0108055773,T0109077809,1
T0108055773,T0109079810,1
T0109062827,T0109079857,2
T0108070794,T0109080828,2
T0109051826,T0109080836,2
T0108070794,T0109082824,2
T0109051826,T0109082837,2
T0108070794,T0109083819,2
T0108070794,T0109089801,1
T0109088808,T0109091804,1
T0209128874,T0109094874,2
T0108070794,T0109095803,1
T0108070794,T0109096803,1
T0209128874,T0109097872,2
T0209128874,T0109097876,2
T0109062827,T0109098843,1
T0110043969,T0110013968,2
T0109022881,T0110021910,2
T0109022881,T0110022909,2
T0110010986,T0110024957,2
T0110010986,T0110025959,2
T0109022881,T0110026913,2
T0110015998,T0110027989,1
T0110053977,T0110034971,1
T0110053977,T0110043949,2
T0110053977,T0110044950,2
T0110053977,T0110045947,2
T0110015998,T0110051970,1
T0110015998,T0110051970,1
T0110030998,T0110058999,2
T0110030998,T0110063992,2
T0110030998,T0110063995,2
T0110030998,T0110064995,2
T0210102983,T0110068992,2
T0110074933,T0110072963,2
T0110074933,T0110074970,2
T0110074933,T0110075966,2
T0210102983,T0110075992,2
T0110074933,T0110096932,1
T0110068901,T0110099919,2
T0110068901,T0110099919,2
T0101018027,T0201105000,1
T0101018027,T0201105000,1
T0201145034,T0201108027,2
T0101018027,T0201110000,1
T0201123098,T0201113099,1
T0201113075,T0201115090,1
T0201142058,T0201121088,2
T0201142058,T0201122085,2
T0201142058,T0201123086,2
T0201127039,T0201124013,1
T0201142058,T0201124085,2
T0201123098,T0201125067,2
T0201123098,T0201126065,2
T0201123098,T0201128062,2
T0201123098,T0201128064,2
T0201160072,T0201131092,2
T0201160072,T0201133091,2
T0201160072,T0201133094,2
T0201160072,T0201134095,2
T0201160072,T0201135094,2
T0101018027,T0201137000,1
T0201145034,T0201138002,1
T0201145034,T0201140011,1
T0201113075,T0201144075,2
T0201113075,T0201146077,2
T0201113075,T0201146084,2
T0201113075,T0201147075,2
T0201113075,T0201149077,2
T0201113075,T0201149078,2
T0201133054,T0201149081,2
T0201133054,T0201150086,2
T0201133054,T0201152078,2
T0201133054,T0201153078,2
T0101018027,T0201156000,1
T0201133054,T0201156079,2
T0201164045,T0201160012,2
T0202158126,T0201160097,1
T0202191114,T0201161078,1
T0101018027,T0201162000,1
T0201133054,T0201162075,1
T0201160072,T0201164067,1
T0201164045,T0201165014,2
T0101018027,T0201168000,1
T0101018027,T0201168000,1
T0202191114,T0201169091,2
T0202191114,T0201170097,2
T0201146097,T0201174083,2
T0201146097,T0201175084,2
T0101018027,T0201176000,1
T0201160072,T0201178049,1
T0201160072,T0201178050,1
T0201146097,T0201179083,2
T0301215048,T0201180013,1
T0301215048,T0201183015,1
T0301215048,T0201186021,2
T0101018027,T0201192000,1
T0301215048,T0201192023,2
T0102094111,T0202101114,1
T0102094111,T0202103115,1
T0102094111,T0202106138,2
T0201141097,T0202107116,2
T0102094111,T0202107137,2
T0202123150,T0202108118,1
T0102094111,T0202108139,2
T0102094111,T0202109138,2
T0201141097,T0202110109,2
T0102094111,T0202110141,2
T0201141097,T0202111117,2
T0201141097,T0202113111,2
T0201141097,T0202114116,2
T0203115216,T0202116193,1
T0203115216,T0202117185,1
T0202106166,T0202119160,1
T0202158126,T0202124130,2
T0202158126,T0202125126,2
T0202158126,T0202125129,2
T0202158126,T0202126128,2
T0201146097,T0202127133,1
T0201146097,T0202128130,1
T0202158126,T0202130125,2
T0201146097,T0202130127,1
T0201146097,T0202131125,1
T0202104163,T0202133166,2
T0202104163,T0202134165,2
T0202104163,T0202136162,2
T0201146097,T0202137114,1
T0202104163,T0202137165,2
T0202104163,T0202138163,2
T0202163122,T0202175153,2
T0202163122,T0202179148,2
T0202163122,T0202180147,2
T0202158171,T0202180169,1
T0202158171,T0202183168,1
T0202158171,T0202184168,1
T0202158171,T0202187168,1
T0202163122,T0202189137,1
T0202163122,T0202198142,1
T0202183165,T0202199179,1
T0203123245,T0203102273,2
T0203123245,T0203105274,2
T0203140231,T0203108210,2
T0203140231,T0203113214,2
T0203140231,T0203114209,2
T0203140231,T0203115211,2
T0203113280,T0203115248,2
T0203140231,T0203117213,2
T0203113280,T0203120244,2
T0203113280,T0203120248,2
T0203113280,T0203122252,2
T0203143233,T0203122262,2
T0203143233,T0203124263,2
T0203143233,T0203125266,2
T0203143233,T0203127262,2
T0203143233,T0203128266,2
T0203143233,T0203128268,2
T0103098278,T0203128296,2
T0103098278,T0203128298,2
T0203143233,T0203130264,2
T0202158171,T0203153204,2
T0202158171,T0203153208,2
T0203123245,T0203153224,1
T0203187296,T0203153289,2
T0203187296,T0203154289,2
T0203187296,T0203154289,2
T0203187296,T0203154290,2
T0203187296,T0203155294,2
T0203146267,T0203157298,2
T0203146267,T0203158271,1
T0202158171,T0203159207,2
T0203163258,T0203167222,2
T0203163258,T0203168224,2
T0203143233,T0203170219,1
T0203143233,T0203173217,1
T0203143233,T0203175216,1
T0203143233,T0203176215,1
T0203146267,T0203176277,1
T0203175209,T0203177239,2
T0203175209,T0203177244,2
T0203175209,T0203178247,2
T0203143233,T0203179214,1
T0203146267,T0203179279,1
T0304212303,T0203180289,1
T0203175209,T0203182243,2
T0203187296,T0203183273,1
T0203146267,T0203183280,1
T0203187296,T0203184279,1
T0304212303,T0203196272,2
T0304212303,T0203198277,2
T0304212303,T0203199269,2
T0204129323,T0204101307,2
T0103077293,T0204101310,1
T0204120384,T0204101398,1
T0103077293,T0204102311,1
T0204135340,T0204106308,1
T0104075335,T0204106338,1
T0204120384,T0204106394,1
T0204135340,T0204107310,1
T0104075335,T0204107338,1
T0204145384,T0204107379,2
T0204135340,T0204109318,2
T0204105365,T0204110392,2
T0204145384,T0204111378,2
T0103077293,T0204113318,1
T0204105365,T0204113366,1
T0204135340,T0204114316,2
T0204135340,T0204114316,2
T0103077293,T0204114319,1
T0204145384,T0204115383,2
T0105094400,T0204115396,1
T0204135340,T0204116319,1
T0104081353,T0204116335,1
T0204122353,T0204116384,1
T0204109346,T0204117309,2
T0204109346,T0204119317,2
T0204122353,T0204119371,1
T0204109346,T0204120313,2
T0204122353,T0204120364,1
T0103098278,T0204121308,1
T0103098278,T0204121308,1
T0204109346,T0204121315,2
T0204135340,T0204121325,1
T0105094400,T0204121395,1
T0103098278,T0204122310,1
T0204109346,T0204122313,2
T0204145331,T0204122352,2
T0204145331,T0204124359,2
T0103098278,T0204128301,2
T0204145331,T0204128358,2
T0204145331,T0204130355,2
T0204120384,T0204136356,2
T0204145384,T0204141348,1
T0204145384,T0204143363,1
T0204122353,T0204150350,2
T0204122353,T0204152347,2
T0203146267,T0204154301,2
T0204122353,T0204155345,2
T0203132284,T0204157307,2
T0203146267,T0204159300,2
T0203132284,T0204161305,2
T0204145307,T0204165332,2
T0204145307,T0204165333,2
T0204145307,T0204166334,2
T0204145307,T0204168328,1
T0204180306,T0204175336,2
T0204145331,T0204179302,1
T0204145307,T0204180339,1
T0204145307,T0204182341,1
T0205159418,T0204187399,2
T0105069464,T0205100456,2
T0205124457,T0205102430,2
T0105069464,T0205102452,2
T0105069464,T0205102455,2
T0105069464,T0205103451,2
T0205102406,T0205107427,1
T0205102406,T0205109438,1
T0204105365,T0205110400,2
T0205102406,T0205110439,1
T0205109432,T0205117442,1
T0205119424,T0205123412,1
T0205109432,T0205129453,2
T0205109432,T0205129457,1
T0205102406,T0205130412,2
T0205102406,T0205130415,2
T0205109432,T0205130450,2
T0205102406,T0205131410,2
T0205109432,T0205132460,1
T0205102406,T0205133414,2
T0205102406,T0205134409,2
T0205109432,T0205135448,2
T0205109432,T0205135450,2
T0205102406,T0205136413,2
T0204154391,T0205139425,2
T0204154391,T0205141425,2
T0205163472,T0205148455,1
T0205163472,T0205150458,1
T0206139504,T0205150496,1
T0205192456,T0205153454,2
T0205159418,T0205155426,1
T0205192456,T0205159450,2
T0205192456,T0205160449,2
T0205192456,T0205160450,2
T0205192456,T0205161451,2
T0206139504,T0205166484,1
T0305207401,T0205180418,2
T0205190443,T0205180478,1
T0306207512,T0205180486,2
T0305207401,T0205181427,2
T0306207512,T0205182488,2
T0305207401,T0205183427,2
T0205190443,T0205183469,1
T0305207401,T0205184418,2
T0305207401,T0205184422,2
T0205190443,T0205184466,1
T0205190443,T0205184466,1
T0305207401,T0205185420,2
T0305207401,T0205185424,2
T0306207512,T0205185487,1
T0205178476,T0205186471,1
T0205159418,T0205187402,2
T0205159418,T0205188403,2
T0205159418,T0205190405,2
T0207115613,T0206102582,2
T0106091542,T0206104516,2
T0106091542,T0206105510,2
T0106091542,T0206105512,2
T0106091542,T0206106510,2
T0106079525,T0206110537,1
T0206123544,T0206111513,2
T0206123544,T0206111516,2
T0206123544,T0206111517,2
T0206123544,T0206111540,1
T0206123544,T0206114512,2
T0206123544,T0206115518,2
T0207102605,T0206119572,2
T0207102605,T0206119575,2
T0207102605,T0206119576,2
T0207102605,T0206119581,2
T0206139504,T0206120529,2
T0206139504,T0206120536,2
T0206159599,T0206120573,1
T0207102605,T0206120581,2
T0206154526,T0206122539,2
T0207102605,T0206123577,2
T0206154526,T0206124532,2
T0206154526,T0206124538,2
T0206154526,T0206125538,2
T0206154526,T0206127534,2
T0206159599,T0206129580,1
T0206157550,T0206131570,2
T0206157550,T0206132567,2
T0206157550,T0206132567,2
T0206157550,T0206134571,2
T0206157550,T0206135571,2
T0206159599,T0206135584,1
T0206159599,T0206136572,2
T0206157550,T0206136575,2
T0206159599,T0206138568,2
T0206159599,T0206141566,2
T0206159599,T0206143569,2
T0206117556,T0206147533,1
T0206154559,T0206150593,1
T0206150543,T0206152551,1
T0206154559,T0206152576,1
T0207126604,T0206155590,2
T0207126604,T0206157590,2
T0207126604,T0206157596,2
T0207126604,T0206157598,2
T0207126604,T0206158595,2
T0205178476,T0206159507,2
T0205178476,T0206161509,2
T0205178476,T0206164507,2
T0207165613,T0206164583,1
T0206162550,T0206166576,1
T0206162550,T0206166578,1
T0206157550,T0206182523,1
T0206150543,T0206185550,2
T0206157550,T0206187518,1
T0206154559,T0206187553,2
T0206154559,T0206187556,2
T0206174548,T0206188527,1
T0206154559,T0206188559,2
T0206154559,T0206189553,2
T0206154559,T0206190554,2
T0206162550,T0206193555,2
T0206162550,T0206195556,2
T0207115613,T0207101605,1
T0207135623,T0207101619,2
T0207135623,T0207102614,2
T0207135623,T0207103622,2
T0207135623,T0207105618,2
T0107070666,T0207106639,1
T0107070666,T0207106639,1
T0207115613,T0207108609,1
T0207126604,T0207118628,1
T0207126604,T0207120623,1
T0206149589,T0207121614,2
T0206149589,T0207123612,2
T0206149589,T0207125610,2
T0206149589,T0207125611,2
T0206149589,T0207126614,2
T0206149589,T0207126615,2
T0206149589,T0207126618,2
T0206149589,T0207127615,2
T0206149589,T0207128614,2
T0206149589,T0207129615,2
T0207165613,T0207135614,2
T0208152716,T0207141684,2
T0208152716,T0207144687,2
T0208152716,T0207145685,2
T0208152716,T0207146684,2
T0208152716,T0207147681,2
T0208152716,T0207148682,2
T0208152716,T0207149680,2
T0207149663,T0207154667,1
T0207188692,T0207158676,1
T0207149663,T0207159671,1
T0207165649,T0207164618,2
T0207136670,T0207165678,2
T0207136670,T0207165679,2
T0207149663,T0207166688,2
T0207165649,T0207167617,2
T0207149663,T0207167677,1
T0207165649,T0207169615,2
T0207136670,T0207169685,2
T0207165649,T0207170615,2
T0207149663,T0207170689,2
T0207149663,T0207172687,2
T0207188692,T0207175661,2
T0207188692,T0207175664,2
T0208176730,T0207178697,2
T0208176730,T0207181691,2
T0208176730,T0207183698,2
T0207185681,T0207184649,2
T0208176730,T0207184696,2
T0207185681,T0207185645,2
T0207185681,T0207186647,2
T0207185681,T0207186648,2
T0207185681,T0207187648,2
T0307219673,T0207188690,2
T0207185681,T0207189647,2
T0207185681,T0207189648,2
T0307219673,T0207190698,2
T0208133775,T0208101775,2
T0208133775,T0208101777,2
T0108074745,T0208102737,1
T0208133775,T0208104784,2
T0208120761,T0208104792,2
T0108081739,T0208105716,2
T0208133775,T0208105782,2
T0108074745,T0208106736,1
T0208133775,T0208106777,2
T0208133775,T0208106778,2
T0109088808,T0208106784,1
T0108081739,T0208107717,2
T0108081739,T0208107721,2
T0108074745,T0208107735,1
T0208111737,T0208107768,2
T0208120761,T0208107788,2
T0208120761,T0208107797,2
T0108081739,T0208108718,2
T0108091764,T0208109755,1
T0208111737,T0208110774,2
T0208120761,T0208110794,2
T0108081739,T0208111716,2
T0208120761,T0208111795,2
T0109094807,T0208113789,1
T0109088808,T0208115772,1
T0208109738,T0208117711,2
T0208109738,T0208120711,2
T0208109738,T0208121705,2
T0208109738,T0208121712,2
T0109094807,T0208124779,1
T0209163807,T0208128798,2
T0209163807,T0208128798,2
T0209163807,T0208131795,2
T0209163807,T0208131798,2
T0209163807,T0208133799,2
T0209163807,T0208134797,2
T0208133775,T0208137747,1
T0209163807,T0208137799,2
T0208111737,T0208143733,1
T0208120761,T0208144751,1
T0208111737,T0208145733,1
T0208111737,T0208147733,1
T0208176730,T0208148734,1
T0207136670,T0208149701,1
T0208120761,T0208152748,1
T0208176730,T0208153734,1
T0209141806,T0208153776,2
T0209141806,T0208153776,2
T0209163807,T0208154772,1
T0209141806,T0208157776,2
T0209163807,T0208158787,1
T0208140794,T0208170779,2
T0208140794,T0208173782,2
T0209158803,T0208176772,2
T0209158803,T0208177772,2
T0209165800,T0208182777,2
T0209165800,T0208183772,2
T0209165800,T0208184769,2
T0209165800,T0208185770,2
T0308221732,T0208191712,2
T0308221732,T0208194716,2
T0308221732,T0208195711,2
T0308221732,T0208195714,2
T0209177810,T0208197782,2
T0209141806,T0209107823,1
T0209141806,T0209122815,1
T0209145867,T0209124893,1
T0208109784,T0209126808,2
T0209128874,T0209126847,1
T0210161902,T0209126888,1
T0210161902,T0209126889,1
T0208109784,T0209127807,2
T0208109784,T0209127810,2
T0208109784,T0209129807,2
T0208109784,T0209129812,2
T0208109784,T0209130814,2
T0209145867,T0209130886,1
T0208109784,T0209131808,2
T0208109784,T0209131813,2
T0209145867,T0209131884,1
T0208109784,T0209132807,2
T0209163807,T0209136801,2
T0208109784,T0209138808,1
T0209158803,T0209141813,1
T0210161902,T0209145870,2
T0210161902,T0209145873,2
T0210161902,T0209146872,2
T0209177810,T0209152832,1
T0210161902,T0209153868,2
T0210161902,T0209153871,2
T0209165800,T0209154808,1
T0209123891,T0209155892,2
T0209123891,T0209155893,2
T0209123891,T0209159894,2
T0209145867,T0209170846,2
T0209145867,T0209171851,2
T0209199891,T0209189856,2
T0209199891,T0209189856,2
T0209199891,T0209190857,2
T0209199891,T0209191858,2
T0209199891,T0209191861,2
T0209199891,T0209194855,2
T0309204868,T0209194898,2
T0309204868,T0209197897,2
T0309204868,T0209199895,2
T0309204868,T0209199895,2
T0110074933,T0210100932,1
T0210138995,T0210100989,2
T0110076972,T0210101970,1
T0210138995,T0210101989,2
T0210138995,T0210101990,2
T0110068901,T0210102918,2
T0210138995,T0210103995,2
T0110076972,T0210104970,1
T0110075994,T0210104991,2
T0110075994,T0210105985,2
T0110075994,T0210107984,2
