BlockX,BlockY,x,y,TreeNum,species,spgroup,Diameter (dbc cm),Stem Height,Volume (m3),status,PROD,Damage(Cut angle),Damage STEM,Damage Crown,d30,VOL30
1,1,15,2,T0101015002,CHBG,2,47.0,24,3.21,CUT,3.21,204,,,62.0,3.56
1,1,53,9,T0101053009,CHBR,2,46.2,23,2.99,CUT,2.99,206,,,61.2,3.46
1,1,21,39,T0101021039,CHMI,2,53.7,25,4.33,CUT,4.33,224,,,68.7,4.39
1,1,29,35,T0101029035,CHBR,2,55.0,22,4.08,CUT,4.08,284,,,70.0,4.56
1,1,6,84,T0101006084,CHBR,2,81.1,30,11.54,CUT,11.54,263,,,102.1,9.81
1,1,1,97,T0101001097,CHBG,2,62.8,26,6.12,CUT,6.12,224,,,83.8,6.58
1,1,63,5,T0101063005,CHTR,2,77.3,26,9.26,VICTIM,,,,4.63,98.3,9.09
1,1,66,8,T0101066008,CHTR,2,61.0,29,6.35,VICTIM,,,,3.175,82.0,6.29
1,1,13,8,T0101013008,CRMS,3,8.6,7,0.05,KEEP,,,,,20.6,0.31
1,1,43,43,T0101043043,LMBI,3,11.4,6,0.07,KEEP,,,,,23.4,0.42
1,1,14,55,T0101014055,LMBI,3,9.1,6,0.05,KEEP,,,,,21.1,0.33
1,1,71,14,T0101071014,CRMS,3,14.4,7,0.09,KEEP,,,,,26.4,0.57
1,1,70,50,T0101070050,PCEK,3,13.0,9,0.08,KEEP,,,,,25.0,0.5
1,1,38,58,T0101038058,CHRH,3,9.5,7,0.05,KEEP,,,,,21.5,0.34
1,1,20,97,T0101020097,LMBI,3,13.0,7,0.08,VICTIM,,,,0.04,25.0,0.5
1,1,89,9,T0101089009,PCEK,3,9.0,5,0.05,KEEP,,,,,21.0,0.32
1,1,33,14,T0101033014,CHRH,3,9.2,8,0.05,KEEP,,,,,21.2,0.33
1,1,31,48,T0101031048,KKMS,3,7.4,8,0.04,VICTIM,,,,0.02,19.4,0.26
1,1,90,63,T0101090063,PCEK,3,15.0,6,0.13,KEEP,,,,,33.0,0.94
1,1,13,16,T0101013016,LMBI,3,11.9,8,0.07,KEEP,,,,,23.9,0.45
1,1,9,34,T0101009034,CHRH,3,10.7,6,0.06,KEEP,,,,,22.7,0.39
1,1,16,48,T0101016048,PCEK,3,5.4,10,0.03,KEEP,,,,,17.4,0.19
1,1,27,12,T0101027012,CRMS,3,11.3,6,0.07,KEEP,,,,,23.3,0.42
1,1,46,42,T0101046042,KKPN,3,9.3,10,0.05,KEEP,,,,,21.3,0.33
1,1,78,82,T0101078082,KKPN,3,14.4,9,0.09,KEEP,,,,,26.4,0.57
1,1,54,42,T0101054042,LMBI,3,11.8,7,0.07,VICTIM,,,,0.035,23.8,0.44
1,1,97,21,T0101097021,LMBI,3,14.0,10,0.09,VICTIM,,,,0.045,26.0,0.55
1,1,77,74,T0101077074,PCEK,3,5.7,9,0.03,VICTIM,,,,0.015,17.7,0.2
1,1,64,72,T0101064072,KKPN,3,11.5,9,0.07,KEEP,,,,,23.5,0.43
1,1,32,47,T0101032047,KKMS,3,21.7,11,0.38,KEEP,,,,,39.7,1.4
1,1,40,32,T0101040032,TBEG,3,22.5,12,0.43,KEEP,,,,,40.5,1.46
1,1,13,85,T0101013085,CRMS,3,21.4,11,0.37,VICTIM,,,0.37,,,
1,1,41,59,T0101041059,KKPN,3,26.0,13,0.61,VICTIM,,,0.61,,,
1,1,83,17,T0101083017,TBEG,3,17.0,14,0.28,KEEP,,,,,35.0,1.07
1,1,34,33,T0101034033,CRMS,3,30.0,15,0.9,KEEP,,,,,45.0,1.83
1,1,31,5,T0101031005,PCEK,3,26.6,13,0.64,KEEP,,,,,44.6,1.79
1,1,1,80,T0101001080,PCEK,3,23.5,13,0.5,KEEP,,,,,41.5,1.54
1,1,26,87,T0101026087,KKMS,3,24.0,12,0.49,KEEP,,,,,42.0,1.58
1,1,64,91,T0101064091,CHRH,3,24.2,14,0.56,KEEP,,,,,42.2,1.6
1,1,54,32,T0101054032,KKPN,3,28.8,11,0.66,KEEP,,,,,46.8,1.98
1,1,86,79,T0101086079,PCEK,3,21.9,14,0.46,VICTIM,,,,0.23,39.9,1.42
1,1,70,91,T0101070091,KKPN,3,24.7,12,0.52,KEEP,,,,,42.7,1.64
1,1,36,95,T0101036095,KKMS,3,24.8,15,0.62,VICTIM,,,0.62,,,
1,1,89,9,T0101089009,CHRH,3,15.4,12,0.21,KEEP,,,,,33.4,0.96
1,1,11,60,T0101011060,CHRH,3,17.3,13,0.28,KEEP,,,,,35.3,1.09
1,1,8,9,T0101008009,KKMS,3,30.0,11,0.72,KEEP,,,,,45.0,1.83
1,1,57,95,T0101057095,KKMS,3,25.7,14,0.63,KEEP,,,,,43.7,1.72
1,1,6,31,T0101006031,LMBI,3,38.4,17,1.62,KEEP,,,,,53.4,2.61
1,1,8,92,T0101008092,CHRH,3,36.6,19,1.61,VICTIM,,,1.61,,,
1,1,51,35,T0101051035,KKPN,3,40.6,18,1.89,KEEP,,,,,55.6,2.84
1,1,39,26,T0101039026,LMBI,3,30.4,18,1.07,KEEP,,,,,45.4,1.86
1,1,11,71,T0101011071,PCEK,3,43.5,16,1.97,KEEP,,,,,58.5,3.16
1,1,54,52,T0101054052,TBEG,3,41.0,18,1.93,KEEP,,,,,56.0,2.88
1,1,73,9,T0101073009,KKPN,3,55.2,22,4.11,CUT,4.11,327,,,70.2,4.59
1,1,48,53,T0101048053,KKMS,3,53.8,25,4.35,CUT,4.35,311,,,68.8,4.4
1,1,76,55,T0101076055,CHRH,3,51.7,22,3.6,CUT,3.6,211,,,66.7,4.13
1,1,13,80,T0101013080,KKMS,3,55.0,22,4.08,CUT,4.08,92,,,70.0,4.56
1,1,46,8,T0101046008,CRMS,3,84.4,30,12.5,VICTIM,,,,6.25,105.4,10.46
1,1,18,76,T0101018076,TBEG,3,66.9,28,7.4,CUT,7.4,287,,,87.9,7.25
1,1,26,64,T0101026064,TBEG,3,71.9,29,8.81,CUT,8.81,328,,,92.9,8.1
1,1,55,84,T0101055084,KKMS,3,95.7,30,16.07,CUT,16.07,255,,,116.7,12.84
1,1,34,23,T0101034023,TRLT,4,13.5,9,0.08,-,,,,,25.5,0.52
1,1,86,0,T0101086000,KHOV,4,11.0,7,0.06,VICTIM,,,0.06,,,
1,1,50,71,T0101050071,PPEL,4,6.2,8,0.04,-,,,,,18.2,0.22
1,1,60,34,T0101060034,KKDK,4,13.2,9,0.08,-,,,,,25.2,0.51
1,1,54,33,T0101054033,PPEL,4,7.1,10,0.04,-,,,,,19.1,0.25
1,1,65,20,T0101065020,KKKS,4,6.5,10,0.04,-,,,,,18.5,0.23
1,1,29,66,T0101029066,RINM,4,14.3,9,0.09,-,,,,,26.3,0.56
1,1,82,21,T0101082021,KKDK,4,11.1,6,0.06,-,,,,,23.1,0.41
1,1,81,90,T0101081090,KKTM,4,12.7,9,0.08,-,,,,,24.7,0.48
1,1,30,79,T0101030079,KKKS,4,10.6,7,0.06,-,,,,,22.6,0.39
1,1,88,45,T0101088045,TRLT,4,9.9,6,0.06,-,,,,,21.9,0.36
1,1,60,37,T0101060037,KKTM,4,6.2,9,0.04,VICTIM,,,0.04,,,
1,1,28,84,T0101028084,KKTM,4,10.7,8,0.06,-,,,,,22.7,0.39
1,1,31,93,T0101031093,PPEL,4,14.1,8,0.09,-,,,,,26.1,0.55
1,1,51,52,T0101051052,KKTM,4,9.3,7,0.05,-,,,,,21.3,0.33
1,1,4,47,T0101004047,TRLT,4,11.3,6,0.07,VICTIM,,,,0.035,23.3,0.42
1,1,37,2,T0101037002,TRLT,4,10.0,10,0.06,-,,,,,22.0,0.36
1,1,30,69,T0101030069,KHOV,4,8.2,5,0.04,VICTIM,,,0.04,,,
1,1,59,8,T0101059008,KKKS,4,13.7,8,0.09,-,,,,,25.7,0.53
1,1,84,65,T0101084065,KKTM,4,9.7,5,0.05,-,,,,,21.7,0.35
1,1,22,76,T0101022076,TRLT,4,7.6,6,0.04,VICTIM,,,0.04,,,
1,1,94,16,T0101094016,KHOV,4,6.2,9,0.04,-,,,,,18.2,0.22
1,1,77,88,T0101077088,PPEL,4,14.6,5,0.09,-,,,,,26.6,0.58
1,1,5,26,T0101005026,KKKS,4,5.7,9,0.03,-,,,,,17.7,0.2
1,1,73,10,T0101073010,RINM,4,9.6,7,0.05,-,,,,,21.6,0.35
1,1,58,19,T0101058019,KHOV,4,13.2,10,0.08,-,,,,,25.2,0.51
1,1,77,15,T0101077015,KKTM,4,6.1,10,0.03,-,,,,,18.1,0.21
1,1,99,33,T0101099033,KKDK,4,5.6,7,0.03,-,,,,,17.6,0.2
1,1,47,41,T0101047041,PPEL,4,8.4,5,0.05,-,,,,,20.4,0.3
1,1,12,86,T0101012086,PPEL,4,11.4,5,0.07,VICTIM,,,0.07,,,
1,1,11,76,T0101011076,KKDK,4,29.6,15,0.88,VICTIM,,,0.88,,,
1,1,82,21,T0101082021,RINM,4,19.1,14,0.35,-,,,,,37.1,1.21
1,1,93,61,T0101093061,KHOV,4,21.3,13,0.41,-,,,,,39.3,1.37
1,1,88,44,T0101088044,KKKS,4,18.1,14,0.32,-,,,,,36.1,1.14
1,1,14,59,T0101014059,TRLT,4,17.4,11,0.25,-,,,,,35.4,1.09
1,1,89,22,T0101089022,KHOV,4,17.5,13,0.28,-,,,,,35.5,1.1
1,1,17,93,T0101017093,KKTM,4,17.8,12,0.28,-,,,,,35.8,1.12
1,1,32,30,T0101032030,KKTM,4,19.5,13,0.35,-,,,,,37.5,1.24
1,1,35,33,T0101035033,KKDK,4,29.4,15,0.86,-,,,,,47.4,2.04
1,1,31,93,T0101031093,KKKS,4,26.2,15,0.69,-,,,,,44.2,1.76
1,1,45,51,T0101045051,KKTM,4,22.9,14,0.5,VICTIM,,,,0.25,40.9,1.49
1,1,69,66,T0101069066,KKKS,4,24.9,13,0.56,-,,,,,42.9,1.65
1,1,76,67,T0101076067,RINM,4,27.4,15,0.75,VICTIM,,,,0.375,45.4,1.86
1,1,35,84,T0101035084,RINM,4,19.0,14,0.35,-,,,,,37.0,1.2
1,1,90,54,T0101090054,KHOV,4,26.5,11,0.56,-,,,,,44.5,1.78
1,1,50,63,T0101050063,KKKS,4,24.9,14,0.59,-,,,,,42.9,1.65
1,1,57,1,T0101057001,RINM,4,25.0,12,0.53,-,,,,,43.0,1.66
1,1,86,58,T0101086058,KHOV,4,26.4,15,0.7,-,,,,,44.4,1.78
1,1,87,88,T0101087088,KKTM,4,18.6,14,0.34,-,,,,,36.6,1.18
1,1,7,93,T0101007093,KHOV,4,17.4,11,0.25,-,,,,,35.4,1.09
1,1,9,22,T0101009022,KKDK,4,19.3,11,0.3,-,,,,,37.3,1.23
1,1,19,49,T0101019049,KKDK,4,19.1,13,0.34,-,,,,,37.1,1.21
1,1,60,74,T0101060074,RINM,4,24.8,13,0.56,-,,,,,42.8,1.64
1,1,37,72,T0101037072,KHOV,4,15.3,11,0.2,-,,,,,33.3,0.96
1,1,78,62,T0101078062,KKTM,4,27.3,11,0.59,-,,,,,45.3,1.85
1,1,95,10,T0101095010,KKKS,4,20.2,15,0.42,-,,,,,38.2,1.29
1,1,70,54,T0101070054,RINM,4,15.0,14,0.22,-,,,,,33.0,0.94
1,1,90,61,T0101090061,PPEL,4,42.0,20,2.2,-,,,,,57.0,2.99
1,1,35,91,T0101035091,KKTM,4,32.1,17,1.13,-,,,,,47.1,2.01
1,1,29,51,T0101029051,KKKS,4,42.6,20,2.26,-,,,,,57.6,3.06
1,1,93,8,T0101093008,KHOV,4,35.9,20,1.61,-,,,,,50.9,2.36
1,1,5,85,T0101005085,KKTM,4,30.3,20,1.15,-,,,,,45.3,1.85
1,1,58,83,T0101058083,KKDK,4,38.8,20,1.88,VICTIM,,,,0.94,53.8,2.65
1,1,7,26,T0101007026,KHOV,4,34.7,19,1.45,-,,,,,49.7,2.25
1,1,3,58,T0101003058,KKKS,4,30.5,20,1.17,-,,,,,45.5,1.87
1,1,25,91,T0101025091,KKDK,4,39.8,20,1.98,-,,,,,54.8,2.76
1,1,40,44,T0101040044,KKTM,4,58.1,22,4.55,-,,,,,73.1,4.98
1,1,65,18,T0101065018,RINM,4,49.9,23,3.49,-,,,,,64.9,3.91
1,1,60,29,T0101060029,PPEL,4,52.4,25,4.12,VICTIM,,,4.12,,,
1,1,9,30,T0101009030,KKTM,4,51.8,23,3.75,-,,,,,66.8,4.14
1,1,57,1,T0101057001,TRLT,4,45.9,23,2.95,-,,,,,60.9,3.43
1,1,89,51,T0101089051,KHOV,4,96.3,27,14.84,VICTIM,,,14.84,,,
1,1,54,4,T0101054004,KKKS,4,77.7,26,9.36,-,,,,,98.7,9.16
1,1,63,84,T0101063084,RINM,4,97.1,29,16.06,-,,,,,118.1,13.16
1,1,7,23,T0101007023,ANKM,5,13.6,7,0.08,KEEP,,,,,25.6,0.21
1,1,58,22,T0101058022,KRKO,5,6.6,5,0.04,KEEP,,,,,18.6,0.13
1,1,22,85,T0101022085,CHMC,5,5.4,7,0.04,VICTIM,,,0.04,,,
1,1,76,46,T0101076046,TEPI,5,14.5,7,0.09,KEEP,,,,,26.5,0.23
1,1,84,2,T0101084002,KREL,5,13.8,9,0.08,KEEP,,,,,25.8,0.22
1,1,77,90,T0101077090,KRAY,5,12.3,5,0.07,KEEP,,,,,24.3,0.2
1,1,92,27,T0101092027,CHTP,5,5.7,7,0.04,VICTIM,,,0.04,,,
1,1,15,58,T0101015058,NNON,5,6.4,5,0.04,KEEP,,,,,18.4,0.12
1,1,97,78,T0101097078,NNON,5,9.2,9,0.05,KEEP,,,,,21.2,0.16
1,1,28,75,T0101028075,SRKR,5,11.2,7,0.07,KEEP,,,,,23.2,0.18
1,1,48,90,T0101048090,SRLO,5,7.6,8,0.05,KEEP,,,,,19.6,0.14
1,1,56,28,T0101056028,HUDN,5,12.5,5,0.07,KEEP,,,,,24.5,0.2
1,1,7,39,T0101007039,CHMC,5,13.3,9,0.08,KEEP,,,,,25.3,0.21
1,1,23,36,T0101023036,BENG,5,7.2,9,0.04,KEEP,,,,,19.2,0.13
1,1,32,76,T0101032076,DCSP,5,14.1,9,0.09,KEEP,,,,,26.1,0.22
1,1,69,2,T0101069002,KREL,5,12.9,8,0.08,VICTIM,,,,0.04,24.9,0.2
1,1,87,12,T0101087012,SWPR,5,11.2,5,0.07,KEEP,,,,,23.2,0.18
1,1,52,90,T0101052090,KRKO,5,8.8,8,0.05,KEEP,,,,,20.8,0.15
1,1,63,99,T0101063099,KREL,5,9.8,9,0.06,KEEP,,,,,21.8,0.16
1,1,17,68,T0101017068,KRKO,5,10.9,8,0.06,KEEP,,,,,22.9,0.18
1,1,18,53,T0101018053,SMPN,5,9.9,8,0.06,KEEP,,,,,21.9,0.16
1,1,77,38,T0101077038,TEPI,5,11.9,8,0.07,KEEP,,,,,23.9,0.19
1,1,99,29,T0101099029,TAUR,5,8.5,5,0.05,VICTIM,,,,0.025,20.5,0.15
1,1,5,89,T0101005089,TEPI,5,6.5,6,0.04,KEEP,,,,,18.5,0.13
1,1,67,88,T0101067088,ANKM,5,7.4,9,0.05,KEEP,,,,,19.4,0.14
1,1,96,5,T0101096005,TEPI,5,13.8,9,0.08,KEEP,,,,,25.8,0.22
1,1,92,70,T0101092070,SYCR,5,5.5,8,0.04,KEEP,,,,,17.5,0.12
1,1,40,15,T0101040015,SRKR,5,6.4,10,0.04,KEEP,,,,,18.4,0.12
1,1,88,90,T0101088090,CHMC,5,9.9,5,0.06,KEEP,,,,,21.9,0.16
1,1,37,74,T0101037074,TAUR,5,8.3,8,0.05,KEEP,,,,,20.3,0.15
1,1,73,85,T0101073085,SWPR,5,26.3,11,0.22,KEEP,,,,,44.3,0.98
1,1,89,53,T0101089053,ATTT,5,19.0,12,0.13,KEEP,,,,,37.0,0.59
1,1,15,46,T0101015046,CHLK,5,26.7,14,0.23,KEEP,,,,,44.7,1.01
1,1,27,54,T0101027054,KRAY,5,19.0,13,0.13,KEEP,,,,,37.0,0.59
1,1,74,35,T0101074035,CHTP,5,17.7,12,0.12,KEEP,,,,,35.7,0.52
1,1,87,84,T0101087084,KREL,5,28.3,11,0.25,KEEP,,,,,46.3,1.1
1,1,30,27,T0101030027,TAUR,5,23.5,14,0.18,KEEP,,,,,41.5,0.82
1,1,94,36,T0101094036,DYKL,5,25.0,12,0.2,KEEP,,,,,43.0,0.91
1,1,67,71,T0101067071,ANKM,5,25.0,13,0.2,KEEP,,,,,43.0,0.91
1,1,74,18,T0101074018,SRKR,5,15.0,13,0.09,KEEP,,,,,33.0,0.4
1,1,14,54,T0101014054,SWPR,5,18.8,15,0.13,KEEP,,,,,36.8,0.58
1,1,23,47,T0101023047,SWPR,5,19.1,13,0.13,KEEP,,,,,37.1,0.59
1,1,15,85,T0101015085,PRDL,5,23.0,11,0.18,KEEP,,,,,41.0,0.79
1,1,97,33,T0101097033,CHMC,5,21.2,11,0.16,KEEP,,,,,39.2,0.7
1,1,59,54,T0101059054,SWPR,5,17.7,11,0.12,KEEP,,,,,35.7,0.52
1,1,33,43,T0101033043,PRNG,5,29.5,15,0.27,KEEP,,,,,47.5,1.18
1,1,83,92,T0101083092,SROL,5,25.9,15,0.22,KEEP,,,,,43.9,0.96
1,1,33,60,T0101033060,BSNK,5,27.1,12,0.24,KEEP,,,,,45.1,1.03
1,1,96,28,T0101096028,CHKM,5,29.8,11,0.28,VICTIM,,,,0.14,47.8,1.2
1,1,81,52,T0101081052,THNS,5,18.1,15,0.12,VICTIM,,,0.12,,,
1,1,15,98,T0101015098,THNR,5,28.9,12,0.26,KEEP,,,,,46.9,1.14
1,1,60,95,T0101060095,HUDN,5,25.0,13,0.2,KEEP,,,,,43.0,0.91
1,1,72,70,T0101072070,CHKR,5,21.2,12,0.16,KEEP,,,,,39.2,0.7
1,1,49,93,T0101049093,TAUR,5,29.0,14,0.27,KEEP,,,,,47.0,1.15
1,1,27,5,T0101027005,ATTT,5,23.9,11,0.19,KEEP,,,,,41.9,0.84
1,1,12,4,T0101012004,SRAL,5,25.0,11,0.2,KEEP,,,,,43.0,0.91
1,1,88,35,T0101088035,BSNK,5,27.0,14,0.23,KEEP,,,,,45.0,1.02
1,1,31,59,T0101031059,THNR,5,30.4,16,0.66,KEEP,,,,,45.4,1.05
1,1,53,49,T0101053049,THNR,5,39.9,16,1.13,VICTIM,,,,0.565,54.9,1.69
1,1,35,80,T0101035080,ATTT,5,34.2,19,0.92,KEEP,,,,,49.2,1.29
1,1,25,81,T0101025081,SROL,5,33.2,16,0.78,VICTIM,,,0.78,,,
1,1,33,85,T0101033085,DYKL,5,40.2,19,1.28,KEEP,,,,,55.2,1.71
1,1,84,1,T0101084001,MASK,5,35.6,18,0.97,KEEP,,,,,50.6,1.38
1,1,1,49,T0101001049,SMPN,5,44.4,18,1.51,VICTIM,,,1.51,,,
1,1,67,79,T0101067079,CHKO,5,35.9,17,0.95,VICTIM,,,,0.475,50.9,1.4
1,1,82,43,T0101082043,SROL,5,43.0,19,1.46,KEEP,,,,,58.0,1.92
1,1,57,55,T0101057055,DYKL,5,59.7,23,3.19,CUT,3.19,98,,,74.7,3.4
1,1,22,84,T0101022084,CHBK,5,53.3,23,2.55,CUT,2.55,360,,,68.3,2.79
1,1,58,51,T0101058051,SKRM,5,45.3,23,1.84,CUT,1.84,43,,,60.3,2.1
1,1,70,28,T0101070028,DYKL,5,59.7,22,3.1,VICTIM,,,,1.55,74.7,3.4
1,1,42,18,T0101042018,NNON,5,74.3,29,5.82,CUT,5.82,43,,,95.3,5.75
1,1,27,92,T0101027092,CHKM,5,73.9,26,5.32,CUT,5.32,78,,,94.9,5.7
1,1,2,69,T0101002069,PRNG,5,83.9,29,7.42,CUT,7.42,52,,,104.9,7.04
