VICTIM,Cut Tree,Category Damage
T0104078369,T0104093337,2
T0104078369,T0104093341,2
T0104081353,T0104093385,2
T0104081366,T0104093389,2
T0103077293,T0104094306,1
T0204120347,T0104094363,2
T0204120347,T0104094366,2
T0204105356,T0104095335,2
T0104081366,T0104095389,2
T0104081353,T0104096384,2
T0103077293,T0104097318,2
T0204120347,T0104097362,2
T0204120347,T0104097365,2
T0103077293,T0104098321,2
T0104081353,T0104098384,2
T0105033406,T0105000402,2
T0105033406,T0105005401,2
T0105033422,T0105005446,2
T0105033406,T0105007402,2
T0104037393,T0105007404,2
T0104037393,T0105007409,2
T0105033422,T0105007445,2
T0105028443,T0105007465,1
T0104037393,T0105008409,2
T0105033422,T0105008441,2
T0104037393,T0105009404,2
T0105028443,T0105009463,1
T0105033422,T0105010440,2
T0104037393,T0105011405,2
T0104037393,T0105012404,2
T0104037393,T0105012405,2
T0104037393,T0105013409,2
T0105014449,T0105015416,2
T0105014449,T0105018414,2
T0105014449,T0105023417,2
T0105019422,T0105023451,1
T0105021468,T0105023459,1
T0105055460,T0105024477,2
T0105055460,T0105024480,2
T0105055460,T0105026475,2
T0105044413,T0105027414,1
T0105021468,T0105028437,1
T0105055460,T0105028480,2
T0105021468,T0105029433,1
T0105002496,T0105029463,1
T0105055460,T0105030482,2
T0105055460,T0105031479,2
T0106034525,T0105035490,1
T0105033422,T0105039416,1
T0105019422,T0105044425,2
T0105019422,T0105045425,2
T0105033422,T0105046409,1
T0105064470,T0105046497,1
T0105019422,T0105047422,2
T0105064470,T0105047495,1
T0105017498,T0105048487,2
T0105017498,T0105048494,2
T0105033422,T0105049405,1
T0105033422,T0105052402,1
T0105019422,T0105052428,2
T0105017498,T0105053489,2
T0105069464,T0105053498,2
T0105017498,T0105054487,2
T0105017498,T0105054490,2
T0105017498,T0105054494,2
T0105028443,T0105055424,2
T0104044382,T0105056409,1
T0204101398,T0105068400,2
T0205102428,T0105070440,2
T0204101398,T0105071400,2
T0205102428,T0105073435,2
T0105094400,T0105074433,2
T0205102428,T0105075441,2
T0105094400,T0105077428,2
T0105086451,T0105078476,2
T0104081392,T0105080415,1
T0104081392,T0105080419,1
T0104081392,T0105080420,1
T0105094400,T0105081433,2
T0105094400,T0105082430,2
T0205119416,T0105085422,2
T0205119424,T0105088430,2
T0205115468,T0105088472,1
T0205119416,T0105090423,2
T0205102406,T0105090439,2
T0105064470,T0105090449,2
T0205125484,T0105091458,1
T0205102406,T0105093437,2
T0105064470,T0105093448,2
T0105064470,T0105093455,2
T0105064470,T0105094453,2
T0106017549,T0106001520,2
T0106017549,T0106003521,2
T0106034525,T0106003524,2
T0106014567,T0106003544,2
T0106014567,T0106003564,1
T0106004555,T0106004590,2
T0106017549,T0106006516,2
T0106014567,T0106006538,2
T0105011497,T0106007526,2
T0106004555,T0106010589,2
T0107012609,T0106011574,1
T0107012609,T0106011579,1
T0105017498,T0106014513,1
T0107006619,T0106017592,2
T0107006619,T0106019591,2
T0106002537,T0106021555,2
T0106049586,T0106021593,1
T0106002537,T0106022554,2
T0106044581,T0106022564,2
T0106044581,T0106022564,2
T0106020500,T0106023508,1
T0106002537,T0106024549,2
T0106044581,T0106028564,1
T0106002537,T0106029551,2
T0106002537,T0106029553,2
T0106044581,T0106029565,1
T0106020500,T0106030528,1
T0105064470,T0106039507,1
T0105064470,T0106043501,1
T0106069556,T0106045540,2
T0106049586,T0106045587,1
T0106069556,T0106047537,2
T0106069556,T0106047542,2
T0106034564,T0106047572,1
T0106034564,T0106047591,2
T0106034564,T0106047591,2
T0106034564,T0106050587,2
T0106034564,T0106050593,2
T0106034564,T0106051592,2
T0106020500,T0106053509,2
T0106020500,T0106054514,2
T0106036546,T0106054532,2
T0106020500,T0106055510,2
T0106049586,T0106055550,2
T0106084591,T0106055599,2
T0106091542,T0106056545,2
T0106091542,T0106056545,2
T0106049586,T0106056551,2
T0106091542,T0106057540,2
T0106049586,T0106057548,2
T0106069556,T0106058537,1
T0106091542,T0106059541,2
T0106049586,T0106059556,2
T0106036546,T0106060532,2
T0106049586,T0106060553,2
T0105084486,T0106062504,2
T0106036546,T0106062530,2
T0106084591,T0106062599,2
T0106036546,T0106063529,2
T0106084591,T0106063598,2
T0106083575,T0106064549,2
T0105084486,T0106065511,2
T0206100543,T0106067542,1
T0106093562,T0106067579,1
T0105084486,T0106069504,2
T0105084486,T0106069508,2
T0207102605,T0106073581,2
T0207102605,T0106075581,2
T0207102605,T0106076585,2
T0207102605,T0106076588,2
T0106093562,T0106077573,1
T0207102605,T0106079582,2
T0207102605,T0106079582,2
T0207102605,T0106079583,2
T0206117556,T0106080531,1
T0206117556,T0106081530,1
T0106073596,T0106089581,1
T0106093562,T0106090564,1
T0106084591,T0106092569,1
T0106079525,T0106096541,1
T0206117556,T0106097525,2
T0206117556,T0106097526,2
T0106073596,T0106097574,1
T0107012664,T0107001669,1
T0107008600,T0107004630,2
T0107008600,T0107004630,2
T0108042700,T0107012692,2
T0107048686,T0107013693,2
T0108013709,T0107014679,2
T0107046642,T0107018628,2
T0108013709,T0107018678,2
T0107046642,T0107019630,2
T0107012664,T0107019641,2
T0108013709,T0107019676,2
T0108042700,T0107019690,2
T0108042700,T0107019690,2
T0107048686,T0107020693,2
T0107046642,T0107021625,2
T0107046642,T0107021633,2
T0107012664,T0107021636,2
T0108013709,T0107021681,2
T0107046642,T0107022633,2
T0107012664,T0107022643,2
T0108004712,T0107023680,1
T0107046642,T0107024628,2
T0108004712,T0107025678,1
T0107012664,T0107026639,2
T0108002703,T0107028696,2
T0107014602,T0107030628,2
T0108002703,T0107030694,2
T0107010629,T0107032614,2
T0107014602,T0107033635,2
T0107070666,T0107033676,2
T0107014602,T0107034630,2
T0107010629,T0107035616,2
T0107010629,T0107035618,2
T0107046642,T0107036622,1
T0107014602,T0107036632,2
T0107070666,T0107036676,2
T0108042700,T0107036684,1
T0106041581,T0107037610,2
T0107070666,T0107037670,2
T0107070666,T0107038674,2
T0108042700,T0107038690,1
T0107031659,T0107040627,2
T0107010659,T0107040659,2
T0107070666,T0107040675,2
T0106041581,T0107041614,2
T0107010659,T0107042657,2
T0107010659,T0107042659,2
T0106041581,T0107044612,2
T0107014602,T0107044620,1
T0107031659,T0107044629,2
T0107070637,T0107044647,1
T0107031659,T0107045630,2
T0107031659,T0107045630,2
T0107070637,T0107045647,1
T0107045616,T0107047644,1
T0106073596,T0107050623,2
T0106073596,T0107051620,2
T0106073596,T0107052619,2
T0107017640,T0107052642,2
T0107061624,T0107054654,1
T0107061624,T0107054656,1
T0107070637,T0107055643,1
T0106047598,T0107056636,2
T0107017640,T0107056642,2
T0106047598,T0107058601,1
T0107033668,T0107060660,1
T0106047598,T0107066603,1
T0107098610,T0107067620,2
T0107033668,T0107067658,1
T0108044700,T0107069679,2
T0107098610,T0107070621,2
T0107098610,T0107070622,2
T0107098610,T0107071617,2
T0107098610,T0107071620,2
T0107098610,T0107071622,2
T0107098610,T0107071624,2
T0108044700,T0107071676,2
T0108044700,T0107072680,2
T0107098610,T0107073618,2
T0107070666,T0107073653,1
T0107045616,T0107076615,2
T0107070637,T0107077608,2
T0107045616,T0107077615,2
T0107045616,T0107079622,2
T0107070637,T0107080609,2
T0107049680,T0107080694,1
T0207114645,T0107087626,1
T0107061624,T0107090613,2
T0107061624,T0107092612,2
T0107061624,T0107092616,2
T0207103622,T0107092628,1
T0207114645,T0107094625,2
T0207128614,T0107097610,2
T0107061624,T0107097618,2
T0207114645,T0107097623,2
T0207114645,T0107097626,2
T0207128614,T0107098610,2
T0207128614,T0107098613,2
T0207114645,T0107098620,2
T0107085691,T0107099670,2
T0108036738,T0108003728,2
T0108019776,T0108004737,1
T0108004712,T0108011700,1
T0109000819,T0108016792,2
T0107048686,T0108017700,2
T0109000819,T0108021797,2
T0107033668,T0108022700,2
T0109000819,T0108022792,2
T0108044700,T0108023727,1
T0107033668,T0108024701,2
T0109000819,T0108024793,2
T0108044700,T0108025724,1
T0107033668,T0108026704,2
T0109057815,T0108028795,2
T0109057815,T0108029794,2
T0109057815,T0108029797,2
T0108029767,T0108031736,1
T0108029767,T0108031742,1
T0108036722,T0108032747,2
T0109057815,T0108032791,2
T0109057815,T0108032796,2
T0109057815,T0108034796,2
T0108036722,T0108036750,2
T0108033758,T0108037760,1
T0108054747,T0108037776,2
T0109016822,T0108042795,2
T0109016822,T0108045795,2
T0108033758,T0108047780,2
T0109051826,T0108047797,2
T0108033758,T0108048787,2
T0108037733,T0108049762,2
T0109051826,T0108049799,2
T0108037733,T0108051760,2
T0108037733,T0108051760,2
T0109051826,T0108052799,2
T0108037733,T0108054757,2
T0108091764,T0108055765,2
T0109051826,T0108055792,2
T0109051826,T0108055795,2
T0107085691,T0108057717,1
T0108045778,T0108057783,1
T0108091764,T0108058766,2
T0107049680,T0108059710,2
T0107049680,T0108059710,2
T0108091764,T0108060759,2
T0107049680,T0108062713,2
T0107049680,T0108063713,2
T0108091764,T0108063762,2
T0108033758,T0108063773,1
T0108049781,T0108069767,2
T0108049781,T0108070769,2
T0108061722,T0108074745,2
T0108061722,T0108074747,2
T0108049781,T0108074761,2
T0108049781,T0108074769,2
T0209107823,T0108075785,1
T0108061722,T0108076748,2
T0209107823,T0108077787,1
T0108061722,T0108079746,2
T0209107823,T0108079790,1
T0108091764,T0108090752,1
T0108074745,T0108093770,2
T0108074745,T0108095764,2
T0108074745,T0108097769,2
T0108074745,T0108098763,2
T0108074745,T0108099770,2
T0109023847,T0109000859,2
T0109023847,T0109000859,2
T0109021854,T0109006819,1
T0109021854,T0109009827,1
T0109016822,T0109011827,1
T0109022881,T0109011889,1
T0109021854,T0109012833,1
T0110012923,T0109012897,2
T0110012923,T0109014897,2
T0110012923,T0109016893,2
T0110012923,T0109016897,2
T0110012923,T0109018893,2
T0110012923,T0109019896,2
T0110012923,T0109020896,2
T0108049781,T0109029809,1
T0109060825,T0109032844,2
T0109015883,T0109032882,1
T0109016859,T0109032883,2
T0109016859,T0109032887,2
T0109016859,T0109033870,1
T0109015883,T0109034882,1
T0109004887,T0109034895,2
T0109060825,T0109035840,2
T0109015883,T0109035882,1
T0109016859,T0109035883,2
T0109016859,T0109035888,2
T0108049781,T0109036800,1
T0109023847,T0109036816,1
T0109004887,T0109036893,2
T0109074860,T0109037878,1
T0109016859,T0109038873,1
T0109016859,T0109038888,2
T0109004887,T0109038892,2
T0108036784,T0109039807,2
T0109004887,T0109039896,2
T0108036784,T0109040805,2
T0109004887,T0109040897,2
T0109068855,T0109042856,2
T0109074827,T0109043823,2
T0109074827,T0109043826,2
T0109074827,T0109045823,2
T0109068855,T0109045852,2
T0108036784,T0109046807,2
T0109074860,T0109047873,1
T0108045778,T0109054806,2
T0108045778,T0109054810,2
T0108045778,T0109055806,2
T0108045778,T0109055812,2
T0109074860,T0109055869,1
T0109050853,T0109055885,2
T0109085880,T0109056890,2
T0108045778,T0109058806,2
T0108045778,T0109058813,2
T0108055773,T0109062802,2
T0108055773,T0109062802,2
T0108045778,T0109062808,2
T0108055773,T0109067808,2
T0110077917,T0109068894,1
T0109074827,T0109071800,1
T0109074827,T0109071801,1
T0109074827,T0109073817,1
T0209107823,T0109078803,2
T0110043906,T0109078894,1
T0110068901,T0109079866,2
T0110068901,T0109081865,2
T0110054908,T0109081889,2
T0110043906,T0109081893,1
T0209107823,T0109082800,2
T0110054908,T0109082888,2
T0110054908,T0109083888,2
T0110054908,T0109083892,2
T0110068901,T0109086869,2
T0110068901,T0109086871,2
T0208101775,T0109087805,2
T0109062827,T0109088808,2
T0109074860,T0109088828,2
T0109074860,T0109088830,2
T0109074860,T0109088833,2
T0209106807,T0109088834,1
T0109050853,T0109088863,1
T0208101775,T0109089801,2
T0109062827,T0109089810,2
T0208101775,T0109091803,2
T0208101775,T0109091804,2
T0108070794,T0109092812,2
T0108070794,T0109092817,2
T0208101775,T0109093806,2
T0109074860,T0109093826,2
T0108070794,T0109094812,2
T0108070794,T0109094818,2
T0209106807,T0109094825,1
T0209106807,T0109094825,1
T0109085880,T0109096859,1
T0110000934,T0110001944,1
T0110000934,T0110001945,1
T0110000934,T0110002961,1
T0110000934,T0110003964,1
T0109004887,T0110007903,1
T0109015883,T0110011911,2
T0109004887,T0110011924,1
T0109015883,T0110015911,2
T0110053977,T0110017961,1
T0110008962,T0110023948,1
T0110001943,T0110024928,2
T0110010986,T0110024957,2
T0110010986,T0110025959,2
T0110001943,T0110028922,2
T0110043906,T0110032944,2
T0110031927,T0110033945,1
T0110043969,T0110037989,1
T0110032977,T0110040974,1
T0110015998,T0110040977,2
T0110053977,T0110041952,2
T0110053977,T0110043949,2
T0110032977,T0110043973,1
T0110053977,T0110044950,2
T0110015998,T0110044981,2
T0110054908,T0110045922,1
T0110077917,T0110046904,2
T0110077917,T0110047905,2
T0110043906,T0110049904,1
T0110032977,T0110051970,1
T0110032977,T0110051970,1
T0109048897,T0110055926,2
T0109048897,T0110055928,2
T0110032977,T0110055969,1
T0110032977,T0110057968,1
T0110031927,T0110058933,2
T0110076972,T0110058999,2
T0109048897,T0110059922,2
T0109048897,T0110062923,2
T0109048897,T0110066904,1
T0110043969,T0110069961,2
T0210102983,T0110070977,2
T0210102983,T0110071982,2
T0110043969,T0110072963,2
T0110066962,T0110075939,2
T0210101970,T0110078991,2
T0210112986,T0110079987,2
T0210101970,T0110079996,2
T0210112986,T0110080989,2
T0210115985,T0110081981,2
T0110076972,T0110082968,1
T0210112986,T0110082989,2
T0210101970,T0110082994,2
T0110074933,T0110084958,1
T0210112986,T0110085984,2
T0109097876,T0110086905,2
T0109097876,T0110087905,2
T0109097876,T0110089904,2
T0109097876,T0110089906,2
T0209123887,T0110097908,2
T0210102918,T0110098931,1
T0101006093,T0201105000,1
T0101006093,T0201105000,1
T0101075032,T0201110000,1
T0202110109,T0201112084,1
T0201142058,T0201113032,2
T0201142058,T0201114035,2
T0201127039,T0201116073,1
T0201142058,T0201119034,2
T0201142058,T0201120031,2
T0201127039,T0201121058,1
T0201129028,T0201127045,1
T0201142058,T0201128044,1
T0201164045,T0201129074,1
T0202171106,T0201133094,1
T0202171106,T0201134095,1
T0201146001,T0201135035,2
T0201146001,T0201136035,2
T0101075032,T0201137000,1
T0201132015,T0201138040,2
T0201132015,T0201139039,2
T0201123098,T0201139069,1
T0201146053,T0201140083,2
T0201132015,T0201141036,2
T0201146001,T0201142033,2
T0201146001,T0201143035,2
T0201132015,T0201143037,2
T0201132015,T0201144038,2
T0201167004,T0201145034,1
T0201143099,T0201145068,2
T0201146053,T0201146084,2
T0201164045,T0201148058,1
T0201143099,T0201148070,2
T0201143099,T0201148074,2
T0202171106,T0201148099,1
T0201164045,T0201149057,1
T0201143099,T0201149069,2
T0201160072,T0201150089,1
T0201186021,T0201153035,2
T0201129028,T0201155028,2
T0201186021,T0201155033,2
T0202127105,T0201155087,2
T0101075032,T0201156000,1
T0202127105,T0201156093,2
T0202127105,T0201157086,2
T0201129028,T0201158022,2
T0201186021,T0201158034,2
T0202171106,T0201158077,2
T0201129028,T0201159021,2
T0201129028,T0201159026,2
T0202171106,T0201159077,2
T0202171106,T0201159077,2
T0201127039,T0201161031,2
T0201186021,T0201161036,2
T0201133054,T0201161065,2
T0202171106,T0201161078,2
T0202163122,T0201161093,2
T0101075032,T0201162000,1
T0201127039,T0201162030,2
T0201186021,T0201162035,2
T0202171106,T0201162075,2
T0201133054,T0201164067,2
T0201196077,T0201166087,1
T0101075032,T0201168000,1
T0101075032,T0201168000,1
T0201177035,T0201171003,2
T0201177035,T0201174007,2
T0201177035,T0201174010,2
T0201177035,T0201174010,2
T0201196077,T0201175084,1
T0101075032,T0201176000,1
T0201146097,T0201181099,2
T0201164045,T0201182023,2
T0201146097,T0201182098,2
T0201146097,T0201183093,2
T0302210111,T0201185094,2
T0302210111,T0201187073,1
T0301215048,T0201189032,2
T0302210111,T0201189076,1
T0302210111,T0201189077,1
T0301225092,T0201189095,2
T0201160072,T0201190059,2
T0101075032,T0201192000,1
T0301215048,T0201192010,1
T0301225092,T0201192091,2
T0301225092,T0201194094,2
T0201184028,T0201197044,1
T0301225092,T0201197094,2
T0301224066,T0201198058,1
T0302202117,T0201198090,2
T0302202117,T0201199087,2
T0202127105,T0202108139,1
T0202127105,T0202109138,1
T0102092167,T0202109147,1
T0102092167,T0202111145,1
T0201143099,T0202116103,1
T0202121135,T0202117158,1
T0102092167,T0202118137,1
T0202123150,T0202124153,1
T0202158171,T0202126143,1
T0201143099,T0202131101,1
T0202158171,T0202131142,2
T0202158171,T0202132141,2
T0202123150,T0202132175,1
T0202123150,T0202134183,1
